,GeoFips,MSA
166,27060,"Ithaca, NY"
167,27100,"Jackson, MI"
168,27140,"Jackson, MS"
169,27180,"Jackson, TN"
170,27260,"Jacksonville, FL"
171,27340,"Jacksonville, NC"
172,27500,"Janesville-Beloit, WI"
173,27620,"Jefferson City, MO"
174,27740,"Johnson City, TN"
175,27780,"Johnstown, PA"
176,27860,"Jonesboro, AR"
177,27900,"Joplin, MO"
178,27980,"Kahului-Wailuku-Lahaina, HI"
179,28020,"Kalamazoo-Portage, MI"
180,28100,"Kankakee, IL"
181,28140,"Kansas City, MO-KS"
182,28420,"Kennewick-Richland, WA"
183,28660,"Killeen-Temple, TX"
184,28700,"Kingsport-Bristol, TN-VA *"
185,28740,"Kingston, NY"
186,28940,"Knoxville, TN"
187,29020,"Kokomo, IN"
188,29100,"La Crosse-Onalaska, WI-MN"
189,29180,"Lafayette, LA"
190,29200,"Lafayette-West Lafayette, IN"
191,29340,"Lake Charles, LA"
192,29420,"Lake Havasu City-Kingman, AZ"
193,29460,"Lakeland-Winter Haven, FL"
194,29540,"Lancaster, PA"
195,29620,"Lansing-East Lansing, MI"
196,29700,"Laredo, TX"
197,29740,"Las Cruces, NM"
198,29820,"Las Vegas-Henderson-Paradise, NV"
199,29940,"Lawrence, KS"
200,30020,"Lawton, OK"
201,30140,"Lebanon, PA"
202,30300,"Lewiston, ID-WA"
203,30340,"Lewiston-Auburn, ME"
204,30460,"Lexington-Fayette, KY"
205,30620,"Lima, OH"
206,30700,"Lincoln, NE"
207,30780,"Little Rock-North Little Rock-Conway, AR"
208,30860,"Logan, UT-ID"
209,30980,"Longview, TX"
210,31020,"Longview, WA"
211,31080,"Los Angeles-Long Beach-Anaheim, CA"
212,31140,"Louisville/Jefferson County, KY-IN"
213,31180,"Lubbock, TX"
214,31340,"Lynchburg, VA *"
215,31420,"Macon-Bibb County, GA"
216,31460,"Madera, CA"
217,31540,"Madison, WI"
218,31700,"Manchester-Nashua, NH"
219,31740,"Manhattan, KS"
220,31860,"Mankato, MN"
221,31900,"Mansfield, OH"
222,32580,"McAllen-Edinburg-Mission, TX"
223,32780,"Medford, OR"
224,32820,"Memphis, TN-MS-AR"
225,32900,"Merced, CA"
226,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
227,33140,"Michigan City-La Porte, IN"
228,33220,"Midland, MI"
229,33260,"Midland, TX"
230,33340,"Milwaukee-Waukesha, WI"
231,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
232,33540,"Missoula, MT"
233,33660,"Mobile, AL"
234,33700,"Modesto, CA"
235,33740,"Monroe, LA"
236,33780,"Monroe, MI"
237,33860,"Montgomery, AL"
238,34060,"Morgantown, WV"
239,34100,"Morristown, TN"
240,34580,"Mount Vernon-Anacortes, WA"
241,34620,"Muncie, IN"
242,34740,"Muskegon, MI"
243,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
244,34900,"Napa, CA"
245,34940,"Naples-Marco Island, FL"
246,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
247,35100,"New Bern, NC"
248,35300,"New Haven-Milford, CT"
249,35380,"New Orleans-Metairie, LA"
250,35620,"New York-Newark-Jersey City, NY-NJ-PA"
251,35660,"Niles, MI"
252,35840,"North Port-Sarasota-Bradenton, FL"
253,35980,"Norwich-New London, CT"
254,36100,"Ocala, FL"
255,36140,"Ocean City, NJ"
256,36220,"Odessa, TX"
257,36260,"Ogden-Clearfield, UT"
258,36420,"Oklahoma City, OK"
259,36500,"Olympia-Lacey-Tumwater, WA"
260,36540,"Omaha-Council Bluffs, NE-IA"
261,36740,"Orlando-Kissimmee-Sanford, FL"
262,36780,"Oshkosh-Neenah, WI"
263,36980,"Owensboro, KY"
264,37100,"Oxnard-Thousand Oaks-Ventura, CA"
265,37340,"Palm Bay-Melbourne-Titusville, FL"
266,37460,"Panama City, FL"
267,37620,"Parkersburg-Vienna, WV"
268,37860,"Pensacola-Ferry Pass-Brent, FL"
269,37900,"Peoria, IL"
270,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
271,38060,"Phoenix-Mesa-Chandler, AZ"
272,38220,"Pine Bluff, AR"
273,38300,"Pittsburgh, PA"
274,38340,"Pittsfield, MA"
275,38540,"Pocatello, ID"
276,38860,"Portland-South Portland, ME"
277,38900,"Portland-Vancouver-Hillsboro, OR-WA"
278,38940,"Port St. Lucie, FL"
279,39100,"Poughkeepsie-Newburgh-Middletown, NY"
280,39150,"Prescott Valley-Prescott, AZ"
281,39300,"Providence-Warwick, RI-MA"
282,39340,"Provo-Orem, UT"
283,39380,"Pueblo, CO"
284,39460,"Punta Gorda, FL"
285,39540,"Racine, WI"
286,39580,"Raleigh-Cary, NC"
287,39660,"Rapid City, SD"
288,39740,"Reading, PA"
289,39820,"Redding, CA"
290,39900,"Reno, NV"
291,40060,"Richmond, VA *"
292,40140,"Riverside-San Bernardino-Ontario, CA"
293,40220,"Roanoke, VA *"
294,40340,"Rochester, MN"
295,40380,"Rochester, NY"
296,40420,"Rockford, IL"
297,40580,"Rocky Mount, NC"
298,40660,"Rome, GA"
299,40900,"Sacramento-Roseville-Folsom, CA"
300,40980,"Saginaw, MI"
301,41060,"St. Cloud, MN"
302,41100,"St. George, UT"
303,41140,"St. Joseph, MO-KS"
304,41180,"St. Louis, MO-IL"
305,41420,"Salem, OR"
306,41500,"Salinas, CA"
