"CAINC30 Economic Profile"
"Personal income (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"11260","Anchorage, AK (Metropolitan Statistical Area)",802188,910435,1004489,1110361,1225781,1510511,2016802,2407760,2679418,2727115,2861807,3211582,3723866,4632735,5128428,5583720,5961447,5979180,5660841,5718140,6221162,6668663,7008195,7527293,7962980,8283282,8443275,8710468,9293914,9854901,10208968,10923011,11781498,12454692,12994474,13740870,14688499,15821962,17127351,18933642,18897379,20208961,21395704,21920977,21654641,22899316,23804702,23221930,23526077,24583919,25503163
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",1052627,1095725,1212039,1349916,1518740,1638400,1805963,2038347,2297921,2616066,2903669,3191960,3436150,3640222,3925847,4311669,4700285,5019182,5279965,5775220,6274868,6667023,6758413,7223539,7623930,8170770,8731492,9139407,9635229,10247208,10971447,11797044,12295744,12741541,13319278,13477336,13739787,14244816,14665401,15173227,14224663,15690064,15757892,16837310,16963525,17843290,18972715,19813370,20768333,21734133,22365853
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)",304416,313931,353608,396486,433646,485455,557197,624434,702104,776570,849706,972898,1069632,1144879,1219116,1341222,1403278,1470316,1525463,1607503,1703924,1759063,1851118,1951649,2005237,2073014,2183521,2248460,2324902,2463469,2470237,2458198,2581886,2696488,2834971,3014164,3143525,3297240,3496846,3619662,3573396,3661982,3758530,3797108,3730360,3835683,3974840,4014894,4121206,4228930,4361788
"11540","Appleton, WI (Metropolitan Statistical Area)",508263,550635,581862,638012,723046,800861,877279,977626,1092940,1211224,1398104,1543317,1685126,1781003,1907996,2132295,2283300,2448636,2607322,2776949,3026601,3206585,3368949,3694968,3897358,4188266,4432852,4715137,4937783,5226783,5606859,6068997,6457200,6708097,6888521,7150716,7443643,7834332,8241097,8582588,8424501,8669917,9260407,9661257,9819571,10356656,10813954,11179260,11598983,12097566,12537901
"11700","Asheville, NC (Metropolitan Statistical Area)",730298,785483,861652,973755,1111269,1218978,1318910,1474607,1653861,1859539,2064325,2349553,2649227,2822797,3096007,3450320,3685999,3931739,4225639,4605228,5040778,5377067,5661789,6102912,6523774,6861121,7389530,7799315,8430196,8983848,9300228,9802549,10206175,10324403,10559781,11379433,12058452,13133638,13965943,14346845,13912930,14218227,14825509,15766749,15828039,16936240,18028032,18850941,19774194,21017694,21945716
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",254551,287152,321923,363661,415511,470958,520622,579382,641865,719753,790245,871547,998482,1081243,1209146,1326414,1435020,1576707,1680289,1845495,2051027,2202783,2289739,2414496,2575471,2747204,2968596,3188396,3347496,3591792,3758845,3949385,4167242,4304197,4536153,4736152,4974740,5215939,5469286,5640037,5586301,5693052,5986133,6274463,6410966,6905518,7434706,7679520,8160419,8605032,8869497
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",7004292,7695760,8534310,9754566,11042213,12157534,13096935,14504859,16314364,18510403,20856158,23755858,26827948,29069283,32382541,37264505,41718654,46111602,50350752,55371110,59512828,64033797,66969658,72962981,78347953,84778242,92783942,101611806,109575090,122480229,132283706,145805210,153691997,157050560,162053533,171675804,183620829,198286961,207321580,205537728,199448720,203513558,219075355,226640964,230395527,250262945,266444291,279395622,297613678,316220617,328450133
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787,2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7337971,7562811,8017788,7486313,7777607,8097928,8650156,9127596,9991576,10445372,10738345,10519573,10708168,11210439,11488052,11647180,11894228,12000996,12133315,12424234,12816209,13349834
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",153537,169722,189457,214225,243444,273005,303672,344275,397165,457487,505368,571438,627182,665335,737201,818528,879390,932599,993407,1074858,1199799,1263716,1337279,1461242,1552650,1657056,1784325,1872181,2018792,2169346,2303096,2426741,2496907,2618477,2795736,3050305,3244253,3497039,3730858,3976256,3959421,4131431,4436858,4734318,4844011,5126011,5415988,5720244,5948184,6280809,6545660
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1118535,1151713,1243591,1347080,1500532,1683378,1813963,2080859,2283948,2550572,2884567,3191499,3573855,3989271,4319593,4897233,5387174,5841699,6047138,6491268,7142251,7801627,8156486,8750900,9017776,9417837,9798542,10231097,10683901,11419057,11916699,12555987,12936519,13509927,14145281,14907980,15493330,16329989,17104390,17818750,18018523,18732472,19857321,20109207,20285240,21306042,22633236,23259479,24398910,25422701,26574937
