"CAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"11700","Asheville, NC (Metropolitan Statistical Area)",108044,107391,108988,115239,122493,121406,115701,120996,126497,131939,134546,135100,136135,134442,138779,145445,149776,153313,156232,163112,167964,171956,172486,176331,181752,186248,191577,196267,203879,208191,211901,215601,214044,214661,218080,223209,229213,236531,246173,244313,234371,233877,238793,241450,246183,252658,260028,267797,273244,281092,287879
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",40693,42435,44721,47189,48552,50427,49988,51555,54049,56422,57722,57313,58812,58163,60122,63350,65645,68018,70290,72042,73601,74955,73882,74262,78030,80774,85085,88923,90120,92124,93748,95550,95547,96128,97807,99793,103703,107249,111049,111948,109067,108282,108818,110126,112559,114078,117371,122015,125944,128858,130064
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",901643,924492,956707,1013051,1078478,1089091,1049087,1087337,1147650,1217960,1273760,1312418,1337201,1357118,1418357,1541244,1644282,1737089,1799907,1869917,1902034,1936224,1917337,1962091,2072915,2172516,2273047,2380579,2460237,2584632,2676550,2770951,2809261,2795141,2813569,2896329,3014860,3134434,3232964,3206861,3087160,3070701,3151193,3199601,3285219,3420843,3540278,3652415,3760872,3878093,3976488
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",78419,79885,79392,82297,85385,84867,82280,84161,85095,90253,99716,109410,118656,119783,124824,133475,139336,141884,148142,152703,155641,159479,152342,152205,153047,154444,157855,159704,162668,167700,170052,173765,171600,171667,174184,177412,183113,184525,183099,181292,172715,171005,170762,171854,171401,168468,164855,165232,163825,168101,171340
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",24953,25031,24952,26173,27551,27763,27700,28875,30460,32087,32315,32917,32811,32816,34028,36719,37024,37444,38845,40675,43158,43140,43300,44434,45513,46095,48314,49880,51253,51944,52880,54697,54497,56381,57402,61407,63934,67109,69314,68626,66847,66719,69655,71770,73932,76547,78204,80742,83556,85561,87625
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",163299,149954,149885,151635,157074,160613,157238,165293,172285,178197,184512,186358,187332,191980,192244,205007,214148,221104,221744,227226,235072,247348,243584,243360,247474,251197,253558,254613,260000,264879,270712,274209,269418,269277,273401,279068,282917,284058,289914,289736,284308,284786,288575,289106,292212,299609,307278,311078,318101,325789,331227
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",178161,184371,195537,210710,226304,235030,240694,255068,272296,290687,308207,322221,342388,362756,388622,431932,468315,471436,481326,484629,490138,512913,536269,554727,591053,624671,663975,692327,725886,766659,805105,849746,863762,856715,864159,886034,934981,981793,1042215,1072058,1068447,1082191,1116595,1154689,1211228,1264086,1324618,1382365,1441708,1509526,1566091
"12540","Bakersfield, CA (Metropolitan Statistical Area)",137917,138871,142153,145354,153762,163320,170339,173782,179070,185586,197044,202903,207514,205351,211093,217562,223569,227198,231475,243334,245816,253759,267697,262789,262890,266806,278216,288670,289487,303568,309279,310380,308719,314541,321579,325067,341791,354866,363988,364533,349093,348449,361933,381650,393903,404213,404831,406559,411426,422747,432982
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",991148,991821,994410,1011325,1041876,1056134,1038096,1040323,1068371,1108082,1139209,1139485,1146005,1137050,1164025,1202935,1243523,1276452,1332191,1366737,1393176,1404128,1358484,1339950,1347488,1371332,1394314,1409343,1436116,1466512,1509853,1543762,1547690,1558796,1566963,1593882,1623895,1658564,1689183,1686091,1649432,1645096,1677182,1707280,1734251,1755256,1788444,1813506,1833823,1865227,1889243
"12620","Bangor, ME (Metropolitan Statistical Area)",52147,53058,53213,54697,57117,58222,59000,61770,63665,65596,67939,68884,68180,67853,69290,71880,73522,74368,76675,80867,82915,82886,80019,80228,82174,82635,82741,83203,83642,85931,86803,89410,90067,90467,89799,90971,92341,93316,94140,93709,91487,89458,89529,89690,90222,90518,90454,90412,90610,91895,93239
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",45772,47104,49746,52776,57102,57828,58475,61244,65095,69572,73652,76419,78745,81237,86481,92174,96878,101045,100196,104357,102008,100006,96477,99683,103453,107427,109482,112108,116668,121308,126407,131099,131337,133340,135968,138761,139159,138664,141003,139828,136753,136163,136699,139344,142566,145002,150132,151476,152515,153760,155594
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",182614,180490,185067,193801,204363,217634,229117,245478,252012,268051,275626,289611,297247,299016,297956,308997,309050,301582,302148,309761,315087,327540,336736,346882,354288,362657,374802,384506,389227,402809,412481,422692,419933,421115,427177,430922,447001,468436,479796,487178,486007,481646,486911,494149,506666,518841,523501,525363,529709,539596,541538
