CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13380,"Bellingham, WA (Metropolitan Statistical Area)",167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
13460,"Bend, OR (Metropolitan Statistical Area)",116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692
13740,"Billings, MT (Metropolitan Statistical Area)",147378,148858,150320,151913,153672,156025,158157,160358,163165,165575,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667
13780,"Binghamton, NY (Metropolitan Statistical Area)",252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",982704,988718,993201,1001781,1009575,1017818,1030584,1039561,1049266,1057924,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435
13900,"Bismarck, ND (Metropolitan Statistical Area)",96917,97253,98254,99128,100134,101858,103713,105648,107210,109009,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",151553,153348,153326,154009,154647,156402,158277,160085,161247,162385,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531
14010,"Bloomington, IL (Metropolitan Statistical Area)",150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
14020,"Bloomington, IN (Metropolitan Statistical Area)",142709,143650,144707,146835,148549,150096,152548,154352,156164,157840,160132,161722,162852,163221,164422,165073,166655,167429,168092,169230
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",82211,82592,82838,83240,83511,83718,83996,84303,84735,85385,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194
14260,"Boise City, ID (Metropolitan Statistical Area)",469017,486078,499994,512491,525975,546980,570583,590330,603218,611341,617866,627670,637425,649224,662624,674640,691285,709682,728911,749202
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4401256,4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019
