MSA,city,state_id,lat,lng,MSA
"Baton Rouge, LA",Baton Rouge,LA,30.4418,-91.131,"Baton Rouge, LA"
"Akron, OH",Akron,OH,41.0798,-81.5219,"Akron, OH"
"New Haven, CT",New Haven,CT,41.3112,-72.9246,"New Haven, CT"
"Columbia, SC",Columbia,SC,34.0376,-80.9037,"Columbia, SC"
"Mesa, AZ",Mesa,AZ,33.4017,-111.718,"Mesa, AZ"
"Palm Bay, FL",Palm Bay,FL,27.955,-80.6627,"Palm Bay, FL"
"Provo, UT",Provo,UT,40.2457,-111.6457,"Provo, UT"
"Worcester, MA",Worcester,MA,42.2705,-71.8079,"Worcester, MA"
"Murrieta, CA",Murrieta,CA,33.572,-117.1909,"Murrieta, CA"
"Greenville, SC",Greenville,SC,34.8353,-82.3647,"Greenville, SC"
"Wichita, KS",Wichita,KS,37.6896,-97.3442,"Wichita, KS"
"Toledo, OH",Toledo,OH,41.6639,-83.5822,"Toledo, OH"
"Staten Island, NY",Staten Island,NY,40.5834,-74.1496,"Staten Island, NY"
"Des Moines, IA",Des Moines,IA,41.5725,-93.6105,"Des Moines, IA"
"Long Beach, CA",Long Beach,CA,33.7981,-118.1675,"Long Beach, CA"
"Port St. Lucie, FL",Port St. Lucie,FL,27.2796,-80.3883,"Port St. Lucie, FL"
"Denton, TX",Denton,TX,33.2176,-97.1419,"Denton, TX"
"Madison, WI",Madison,WI,43.0826,-89.3931,"Madison, WI"
"Reno, NV",Reno,NV,39.5497,-119.8483,"Reno, NV"
"Harrisburg, PA",Harrisburg,PA,40.2752,-76.8843,"Harrisburg, PA"
"Little Rock, AR",Little Rock,AR,34.7256,-92.3576,"Little Rock, AR"
"Oakland, CA",Oakland,CA,37.7903,-122.2165,"Oakland, CA"
"Durham, NC",Durham,NC,35.9794,-78.9031,"Durham, NC"
"Winston-Salem, NC",Winston-Salem,NC,36.1029,-80.2611,"Winston-Salem, NC"
"Bonita Springs, FL",Bonita Springs,FL,26.3559,-81.7861,"Bonita Springs, FL"
"Indio, CA",Indio,CA,33.7346,-116.2346,"Indio, CA"
"Palm Coast, FL",Palm Coast,FL,29.5392,-81.246,"Palm Coast, FL"
