CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Personal income (Thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",18239434,19062236,19694214,20464132,22017831,24036762,26390676,28526821,30533652,30340891,31287421,33172504,34395833,35050425,36384121,37188072,38014545,39172207,41153342,42264278
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3485199,3569859,3694596,3776090,3872604,3958299,4015672,4138770,4309831,4225773,4337337,4446794,4565662,4600038,4734379,4970151,5065180,5153616,5249396,5400823
13020,"Bay City, MI (Metropolitan Statistical Area)",2927851,2984729,2973868,3040997,3104842,3136649,3244442,3342207,3486594,3451493,3591408,3714333,3764382,3768444,3883372,4048099,4110220,4175285,4393535,4502212
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",9122408,9474613,9634078,10009459,10171481,10809511,11556355,12173046,13091885,12997381,13655532,14267076,14973569,14656804,15903939,16485366,16491469,17018856,17382152,17751250
13220,"Beckley, WV (Metropolitan Statistical Area)",2635309,2818716,2919090,2920825,2998233,3146912,3345516,3330674,3558327,3666513,3831216,4205227,4273243,4167737,4231288,4301190,4140593,4372759,4605556,4761221
13380,"Bellingham, WA (Metropolitan Statistical Area)",4193722,4518844,4592391,4948278,5356477,5703008,6181036,6777392,7255663,7129058,7414196,7817746,8308744,8327605,8774297,9307821,9722678,10284959,11139242,11672154
13460,"Bend, OR (Metropolitan Statistical Area)",3239605,3519435,3647552,3867974,4177852,4669326,5347666,5672059,5887174,5441052,5493841,5869857,6354749,6805466,7343291,8275134,8985844,9812799,10672155,11159204
13740,"Billings, MT (Metropolitan Statistical Area)",3834193,3981393,4077183,4312089,4687756,5038739,5441236,5888403,6265573,6150664,6464005,6944674,7571769,7651979,8156468,8482472,8530962,9054678,9461062,9802775
13780,"Binghamton, NY (Metropolitan Statistical Area)",6548438,6647131,6756438,6794597,7079724,7188525,7639940,8117662,8589127,8732502,8946988,9184468,9459605,9485515,9643906,9876545,9968422,10466036,10678703,11095201
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",29065037,29816039,30747023,31944455,34533703,36624610,39197509,40894142,41871427,40129633,41703186,43452289,45684227,45556037,47530078,49933414,50839352,53543159,56272785,58200404
13900,"Bismarck, ND (Metropolitan Statistical Area)",2549914,2738233,2798952,2989008,3171288,3375405,3593534,3895135,4196213,4383919,4776622,5302988,5951371,6244114,6823362,6992098,6927416,6985640,7278884,7511736
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3206203,3353078,3457909,3637297,3825327,4035455,4278763,4505172,4650254,4694430,4707296,4945493,5183007,5241762,5526496,5778761,5924430,6132976,6435256,6620300
14010,"Bloomington, IL (Metropolitan Statistical Area)",4542422,4907531,5057574,5238755,5410568,5497638,5952977,6228179,6575955,6586058,6822087,7231627,7365615,7631307,7609034,7969221,8108610,8195140,8488859,8507653
14020,"Bloomington, IN (Metropolitan Statistical Area)",3477518,3539070,3595711,3763259,3982656,4121467,4381013,4551122,4851807,4791757,4913993,5191061,5448213,5455509,5714971,6025741,6320029,6721779,7041016,7346430
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1976470,2053673,2176808,2269869,2348818,2419866,2536837,2714120,2851425,2831591,2978939,3138981,3223207,3288807,3357763,3475877,3575460,3685496,3807656,3918174
